experiment,sub_experiment,script,seed,prompt,reference_image,ip_adapter_scale,block_level_scale_config,num_inference_steps,image_path,generation_time_sec,timestamp
exp2,2a,GA18B,42,,items_variation,0.0,,25,exp2_ga18b_scale/ga18b_2a_scale_0.00_seed42.png,1.414,2026-04-01 21:13:12
exp2,2a,GA18B,123,,items_variation,0.0,,25,exp2_ga18b_scale/ga18b_2a_scale_0.00_seed123.png,1.419,2026-04-01 21:13:14
exp2,2a,GA18B,456,,items_variation,0.0,,25,exp2_ga18b_scale/ga18b_2a_scale_0.00_seed456.png,1.416,2026-04-01 21:13:16
exp2,2a,GA18B,42,,items_variation,0.1,,25,exp2_ga18b_scale/ga18b_2a_scale_0.10_seed42.png,1.563,2026-04-01 21:13:18
exp2,2a,GA18B,123,,items_variation,0.1,,25,exp2_ga18b_scale/ga18b_2a_scale_0.10_seed123.png,1.554,2026-04-01 21:13:20
exp2,2a,GA18B,456,,items_variation,0.1,,25,exp2_ga18b_scale/ga18b_2a_scale_0.10_seed456.png,1.533,2026-04-01 21:13:22
exp2,2a,GA18B,42,,items_variation,0.2,,25,exp2_ga18b_scale/ga18b_2a_scale_0.20_seed42.png,1.582,2026-04-01 21:13:23
exp2,2a,GA18B,123,,items_variation,0.2,,25,exp2_ga18b_scale/ga18b_2a_scale_0.20_seed123.png,1.539,2026-04-01 21:13:25
exp2,2a,GA18B,456,,items_variation,0.2,,25,exp2_ga18b_scale/ga18b_2a_scale_0.20_seed456.png,1.553,2026-04-01 21:13:27
exp2,2a,GA18B,42,,items_variation,0.3,,25,exp2_ga18b_scale/ga18b_2a_scale_0.30_seed42.png,1.548,2026-04-01 21:13:29
exp2,2a,GA18B,123,,items_variation,0.3,,25,exp2_ga18b_scale/ga18b_2a_scale_0.30_seed123.png,1.583,2026-04-01 21:13:31
exp2,2a,GA18B,456,,items_variation,0.3,,25,exp2_ga18b_scale/ga18b_2a_scale_0.30_seed456.png,1.508,2026-04-01 21:13:33
exp2,2a,GA18B,42,,items_variation,0.4,,25,exp2_ga18b_scale/ga18b_2a_scale_0.40_seed42.png,1.533,2026-04-01 21:13:35
exp2,2a,GA18B,123,,items_variation,0.4,,25,exp2_ga18b_scale/ga18b_2a_scale_0.40_seed123.png,1.521,2026-04-01 21:13:37
exp2,2a,GA18B,456,,items_variation,0.4,,25,exp2_ga18b_scale/ga18b_2a_scale_0.40_seed456.png,1.529,2026-04-01 21:13:39
exp2,2a,GA18B,42,,items_variation,0.5,,25,exp2_ga18b_scale/ga18b_2a_scale_0.50_seed42.png,1.594,2026-04-01 21:13:41
exp2,2a,GA18B,123,,items_variation,0.5,,25,exp2_ga18b_scale/ga18b_2a_scale_0.50_seed123.png,1.615,2026-04-01 21:13:43
exp2,2a,GA18B,456,,items_variation,0.5,,25,exp2_ga18b_scale/ga18b_2a_scale_0.50_seed456.png,1.581,2026-04-01 21:13:45
exp2,2a,GA18B,42,,items_variation,0.6,,25,exp2_ga18b_scale/ga18b_2a_scale_0.60_seed42.png,1.966,2026-04-01 21:13:48
exp2,2a,GA18B,123,,items_variation,0.6,,25,exp2_ga18b_scale/ga18b_2a_scale_0.60_seed123.png,1.563,2026-04-01 21:13:50
exp2,2a,GA18B,456,,items_variation,0.6,,25,exp2_ga18b_scale/ga18b_2a_scale_0.60_seed456.png,1.553,2026-04-01 21:13:52
exp2,2a,GA18B,42,,items_variation,0.7,,25,exp2_ga18b_scale/ga18b_2a_scale_0.70_seed42.png,1.632,2026-04-01 21:13:54
exp2,2a,GA18B,123,,items_variation,0.7,,25,exp2_ga18b_scale/ga18b_2a_scale_0.70_seed123.png,1.54,2026-04-01 21:13:56
exp2,2a,GA18B,456,,items_variation,0.7,,25,exp2_ga18b_scale/ga18b_2a_scale_0.70_seed456.png,1.597,2026-04-01 21:13:58
exp2,2a,GA18B,42,,items_variation,0.8,,25,exp2_ga18b_scale/ga18b_2a_scale_0.80_seed42.png,1.564,2026-04-01 21:14:00
exp2,2a,GA18B,123,,items_variation,0.8,,25,exp2_ga18b_scale/ga18b_2a_scale_0.80_seed123.png,1.492,2026-04-01 21:14:02
exp2,2a,GA18B,456,,items_variation,0.8,,25,exp2_ga18b_scale/ga18b_2a_scale_0.80_seed456.png,1.512,2026-04-01 21:14:04
exp2,2a,GA18B,42,,items_variation,0.9,,25,exp2_ga18b_scale/ga18b_2a_scale_0.90_seed42.png,1.532,2026-04-01 21:14:06
exp2,2a,GA18B,123,,items_variation,0.9,,25,exp2_ga18b_scale/ga18b_2a_scale_0.90_seed123.png,1.5,2026-04-01 21:14:08
exp2,2a,GA18B,456,,items_variation,0.9,,25,exp2_ga18b_scale/ga18b_2a_scale_0.90_seed456.png,1.536,2026-04-01 21:14:10
exp2,2a,GA18B,42,,items_variation,1.0,,25,exp2_ga18b_scale/ga18b_2a_scale_1.00_seed42.png,1.5,2026-04-01 21:14:12
exp2,2a,GA18B,123,,items_variation,1.0,,25,exp2_ga18b_scale/ga18b_2a_scale_1.00_seed123.png,1.493,2026-04-01 21:14:14
exp2,2a,GA18B,456,,items_variation,1.0,,25,exp2_ga18b_scale/ga18b_2a_scale_1.00_seed456.png,1.491,2026-04-01 21:14:16
exp2,2b,GA18B,42,,mamoeiro,0.0,,25,exp2_ga18b_scale/ga18b_2b_scale_0.00_seed42.png,1.414,2026-04-01 21:14:17
exp2,2b,GA18B,123,,mamoeiro,0.0,,25,exp2_ga18b_scale/ga18b_2b_scale_0.00_seed123.png,1.425,2026-04-01 21:14:19
exp2,2b,GA18B,42,,mamoeiro,0.2,,25,exp2_ga18b_scale/ga18b_2b_scale_0.20_seed42.png,1.531,2026-04-01 21:14:21
exp2,2b,GA18B,123,,mamoeiro,0.2,,25,exp2_ga18b_scale/ga18b_2b_scale_0.20_seed123.png,1.514,2026-04-01 21:14:23
exp2,2b,GA18B,42,,mamoeiro,0.4,,25,exp2_ga18b_scale/ga18b_2b_scale_0.40_seed42.png,1.494,2026-04-01 21:14:25
exp2,2b,GA18B,123,,mamoeiro,0.4,,25,exp2_ga18b_scale/ga18b_2b_scale_0.40_seed123.png,1.512,2026-04-01 21:14:27
exp2,2b,GA18B,42,,mamoeiro,0.6,,25,exp2_ga18b_scale/ga18b_2b_scale_0.60_seed42.png,1.553,2026-04-01 21:14:29
exp2,2b,GA18B,123,,mamoeiro,0.6,,25,exp2_ga18b_scale/ga18b_2b_scale_0.60_seed123.png,1.566,2026-04-01 21:14:31
exp2,2b,GA18B,42,,mamoeiro,0.8,,25,exp2_ga18b_scale/ga18b_2b_scale_0.80_seed42.png,1.52,2026-04-01 21:14:33
exp2,2b,GA18B,123,,mamoeiro,0.8,,25,exp2_ga18b_scale/ga18b_2b_scale_0.80_seed123.png,1.503,2026-04-01 21:14:35
exp2,2b,GA18B,42,,mamoeiro,1.0,,25,exp2_ga18b_scale/ga18b_2b_scale_1.00_seed42.png,1.496,2026-04-01 21:14:37
exp2,2b,GA18B,123,,mamoeiro,1.0,,25,exp2_ga18b_scale/ga18b_2b_scale_1.00_seed123.png,1.504,2026-04-01 21:14:39
exp2,2c,GA18B,42,,items_variation,0.8,,10,exp2_ga18b_scale/ga18b_2c_steps_10_seed42.png,0.755,2026-04-01 21:14:40
exp2,2c,GA18B,123,,items_variation,0.8,,10,exp2_ga18b_scale/ga18b_2c_steps_10_seed123.png,0.73,2026-04-01 21:14:41
exp2,2c,GA18B,42,,items_variation,0.8,,25,exp2_ga18b_scale/ga18b_2c_steps_25_seed42.png,1.544,2026-04-01 21:14:43
exp2,2c,GA18B,123,,items_variation,0.8,,25,exp2_ga18b_scale/ga18b_2c_steps_25_seed123.png,1.536,2026-04-01 21:14:45
exp2,2c,GA18B,42,,items_variation,0.8,,50,exp2_ga18b_scale/ga18b_2c_steps_50_seed42.png,2.809,2026-04-01 21:14:48
exp2,2c,GA18B,123,,items_variation,0.8,,50,exp2_ga18b_scale/ga18b_2c_steps_50_seed123.png,2.948,2026-04-01 21:14:52
