experiment,sub_experiment,script,seed,model,input_text,text_length_words,text_category,output_path,audio_duration_sec,audio_sampling_rate,waveform_rms,generation_time_sec,round_trip_transcription,round_trip_wer,timestamp
exp6,6a,GA19C,42,suno/bark-small,"Ladybugs have had important roles in culture and religion, being associated with luck, love, fertility and prophecy.",17,repeat,ga19c_6a_repeat_seed42.wav,8.587,24000,0.023093,19.891,,,2026-04-02 02:26:18
exp6,6a,GA19C,123,suno/bark-small,"Ladybugs have had important roles in culture and religion, being associated with luck, love, fertility and prophecy.",17,repeat,ga19c_6a_repeat_seed123.wav,7.427,24000,0.058906,17.48,,,2026-04-02 02:26:35
exp6,6a,GA19C,456,suno/bark-small,"Ladybugs have had important roles in culture and religion, being associated with luck, love, fertility and prophecy.",17,repeat,ga19c_6a_repeat_seed456.wav,10.6,24000,0.049842,24.805,,,2026-04-02 02:27:00
exp6,6a,GA19C,789,suno/bark-small,"Ladybugs have had important roles in culture and religion, being associated with luck, love, fertility and prophecy.",17,repeat,ga19c_6a_repeat_seed789.wav,9.707,24000,0.142508,22.652,,,2026-04-02 02:27:23
exp6,6a,GA19C,1024,suno/bark-small,"Ladybugs have had important roles in culture and religion, being associated with luck, love, fertility and prophecy.",17,repeat,ga19c_6a_repeat_seed1024.wav,12.933,24000,0.072035,29.906,,,2026-04-02 02:27:52
exp6,6b,GA19C,42,suno/bark-small,"Hello, how are you?",4,short,ga19c_6b_short_seed42.wav,2.333,24000,0.065616,5.497,,,2026-04-02 02:27:58
exp6,6b,GA19C,123,suno/bark-small,"Hello, how are you?",4,short,ga19c_6b_short_seed123.wav,4.0,24000,0.131569,9.396,,,2026-04-02 02:28:07
exp6,6b,GA19C,42,suno/bark-small,"Ladybugs have had important roles in culture and religion, being associated with luck, love, fertility and prophecy.",17,medium,ga19c_6b_medium_seed42.wav,8.587,24000,0.023093,19.991,,,2026-04-02 02:28:27
exp6,6b,GA19C,123,suno/bark-small,"Ladybugs have had important roles in culture and religion, being associated with luck, love, fertility and prophecy.",17,medium,ga19c_6b_medium_seed123.wav,7.427,24000,0.058906,17.167,,,2026-04-02 02:28:45
exp6,6b,GA19C,42,suno/bark-small,The quick brown fox jumps over the lazy dog. This sentence contains every letter in the English alphabet and has been used for typing practice since the late nineteenth century.,30,long,ga19c_6b_long_seed42.wav,12.733,24000,0.088977,29.32,,,2026-04-02 02:29:14
exp6,6b,GA19C,123,suno/bark-small,The quick brown fox jumps over the lazy dog. This sentence contains every letter in the English alphabet and has been used for typing practice since the late nineteenth century.,30,long,ga19c_6b_long_seed123.wav,14.84,24000,0.068659,34.465,,,2026-04-02 02:29:48
exp6,6c,GA19C,42,suno/bark-small,"Hey, could you grab me a coffee on your way back? Thanks a lot!",14,conversational,ga19c_6c_conversational_seed42.wav,5.267,24000,0.030267,12.285,,,2026-04-02 02:30:01
exp6,6c,GA19C,123,suno/bark-small,"Hey, could you grab me a coffee on your way back? Thanks a lot!",14,conversational,ga19c_6c_conversational_seed123.wav,6.187,24000,0.089261,14.376,,,2026-04-02 02:30:15
exp6,6c,GA19C,42,suno/bark-small,The convolutional neural network processes input tensors through sequential layers of learned filters.,13,technical,ga19c_6c_technical_seed42.wav,6.64,24000,0.044174,15.236,,,2026-04-02 02:30:30
exp6,6c,GA19C,123,suno/bark-small,The convolutional neural network processes input tensors through sequential layers of learned filters.,13,technical,ga19c_6c_technical_seed123.wav,8.027,24000,0.019909,18.538,,,2026-04-02 02:30:49
exp6,6c,GA19C,42,suno/bark-small,Professor Schwarzenegger from the University of Cincinnati presented the findings at the symposium.,13,proper_nouns,ga19c_6c_proper_nouns_seed42.wav,6.04,24000,0.016327,14.013,,,2026-04-02 02:31:03
exp6,6c,GA19C,123,suno/bark-small,Professor Schwarzenegger from the University of Cincinnati presented the findings at the symposium.,13,proper_nouns,ga19c_6c_proper_nouns_seed123.wav,6.547,24000,0.035162,15.201,,,2026-04-02 02:31:18
exp6,6d,GA19C,42,suno/bark-small,"Hello, how are you?",4,short,ga19c_6d_roundtrip_short_seed42.wav,2.333,24000,0.065616,5.641, How are you?,0.25,2026-04-02 02:31:39
exp6,6d,GA19C,42,suno/bark-small,The convolutional neural network processes input tensors through sequential layers of learned filters.,13,technical,ga19c_6d_roundtrip_technical_seed42.wav,6.64,24000,0.044174,15.622, the convolutional neural network processes in PEP tensors through sequential layers of LARM filters.,0.2308,2026-04-02 02:31:56
exp6,6d,GA19C,42,suno/bark-small,Professor Schwarzenegger from the University of Cincinnati presented the findings at the symposium.,13,proper_nouns,ga19c_6d_roundtrip_proper_nouns_seed42.wav,6.04,24000,0.016327,14.287, Professor Schwarzenegger from the University of Cincinnati presented the findings at the symposium.,0.0,2026-04-02 02:32:11
